loc,length,bug type,approach
343,3,Unhandled-Exceptions,code snippet injection
334,3,Unhandled-Exceptions,code snippet injection
320,6,Unhandled-Exceptions,code snippet injection
313,3,Unhandled-Exceptions,code snippet injection
299,8,Unhandled-Exceptions,code snippet injection
289,3,Unhandled-Exceptions,code snippet injection
277,5,Unhandled-Exceptions,code snippet injection
246,9,Unhandled-Exceptions,code snippet injection
234,5,Unhandled-Exceptions,code snippet injection
223,5,Unhandled-Exceptions,code snippet injection
200,5,Unhandled-Exceptions,code snippet injection
191,3,Unhandled-Exceptions,code snippet injection
179,8,Unhandled-Exceptions,code snippet injection
172,3,Unhandled-Exceptions,code snippet injection
165,3,Unhandled-Exceptions,code snippet injection
98,3,Unhandled-Exceptions,code snippet injection
91,3,Unhandled-Exceptions,code snippet injection
84,3,Unhandled-Exceptions,code snippet injection
75,5,Unhandled-Exceptions,code snippet injection
151,9,Unhandled-Exceptions,code snippet injection
148,2,Unhandled-Exceptions,code snippet injection
144,3,Unhandled-Exceptions,code snippet injection
134,9,Unhandled-Exceptions,code snippet injection
124,9,Unhandled-Exceptions,code snippet injection
120,3,Unhandled-Exceptions,code snippet injection
109,9,Unhandled-Exceptions,code snippet injection
106,2,Unhandled-Exceptions,code snippet injection
65,3,Unhandled-Exceptions,code snippet injection
61,3,Unhandled-Exceptions,code snippet injection
54,6,Unhandled-Exceptions,code snippet injection
