loc,length,bug type,approach
780,3,Unhandled-Exceptions,code snippet injection
719,3,Unhandled-Exceptions,code snippet injection
698,6,Unhandled-Exceptions,code snippet injection
679,3,Unhandled-Exceptions,code snippet injection
651,8,Unhandled-Exceptions,code snippet injection
633,3,Unhandled-Exceptions,code snippet injection
620,5,Unhandled-Exceptions,code snippet injection
603,9,Unhandled-Exceptions,code snippet injection
590,5,Unhandled-Exceptions,code snippet injection
577,5,Unhandled-Exceptions,code snippet injection
561,5,Unhandled-Exceptions,code snippet injection
549,3,Unhandled-Exceptions,code snippet injection
533,8,Unhandled-Exceptions,code snippet injection
520,3,Unhandled-Exceptions,code snippet injection
508,3,Unhandled-Exceptions,code snippet injection
495,3,Unhandled-Exceptions,code snippet injection
482,3,Unhandled-Exceptions,code snippet injection
463,3,Unhandled-Exceptions,code snippet injection
443,5,Unhandled-Exceptions,code snippet injection
419,9,Unhandled-Exceptions,code snippet injection
398,2,Unhandled-Exceptions,code snippet injection
383,3,Unhandled-Exceptions,code snippet injection
363,9,Unhandled-Exceptions,code snippet injection
346,9,Unhandled-Exceptions,code snippet injection
330,3,Unhandled-Exceptions,code snippet injection
294,9,Unhandled-Exceptions,code snippet injection
267,2,Unhandled-Exceptions,code snippet injection
237,3,Unhandled-Exceptions,code snippet injection
227,3,Unhandled-Exceptions,code snippet injection
220,6,Unhandled-Exceptions,code snippet injection
213,6,Unhandled-Exceptions,code snippet injection
207,3,Unhandled-Exceptions,code snippet injection
202,3,Unhandled-Exceptions,code snippet injection
197,3,Unhandled-Exceptions,code snippet injection
190,5,Unhandled-Exceptions,code snippet injection
174,5,Unhandled-Exceptions,code snippet injection
164,9,Unhandled-Exceptions,code snippet injection
160,3,Unhandled-Exceptions,code snippet injection
157,2,Unhandled-Exceptions,code snippet injection
152,3,Unhandled-Exceptions,code snippet injection
148,3,Unhandled-Exceptions,code snippet injection
139,8,Unhandled-Exceptions,code snippet injection
128,9,Unhandled-Exceptions,code snippet injection
119,5,Unhandled-Exceptions,code snippet injection
