loc,length,bug type,approach
172,3,Unhandled-Exceptions,code snippet injection
164,3,Unhandled-Exceptions,code snippet injection
153,6,Unhandled-Exceptions,code snippet injection
546,3,Unhandled-Exceptions,code snippet injection
534,8,Unhandled-Exceptions,code snippet injection
523,3,Unhandled-Exceptions,code snippet injection
510,5,Unhandled-Exceptions,code snippet injection
493,9,Unhandled-Exceptions,code snippet injection
480,5,Unhandled-Exceptions,code snippet injection
469,5,Unhandled-Exceptions,code snippet injection
416,5,Unhandled-Exceptions,code snippet injection
408,3,Unhandled-Exceptions,code snippet injection
394,8,Unhandled-Exceptions,code snippet injection
330,3,Unhandled-Exceptions,code snippet injection
316,3,Unhandled-Exceptions,code snippet injection
309,3,Unhandled-Exceptions,code snippet injection
302,3,Unhandled-Exceptions,code snippet injection
264,3,Unhandled-Exceptions,code snippet injection
240,5,Unhandled-Exceptions,code snippet injection
229,9,Unhandled-Exceptions,code snippet injection
222,2,Unhandled-Exceptions,code snippet injection
218,3,Unhandled-Exceptions,code snippet injection
208,9,Unhandled-Exceptions,code snippet injection
198,9,Unhandled-Exceptions,code snippet injection
194,3,Unhandled-Exceptions,code snippet injection
184,9,Unhandled-Exceptions,code snippet injection
181,2,Unhandled-Exceptions,code snippet injection
177,3,Unhandled-Exceptions,code snippet injection
143,3,Unhandled-Exceptions,code snippet injection
136,6,Unhandled-Exceptions,code snippet injection
129,6,Unhandled-Exceptions,code snippet injection
125,3,Unhandled-Exceptions,code snippet injection
117,3,Unhandled-Exceptions,code snippet injection
113,3,Unhandled-Exceptions,code snippet injection
107,5,Unhandled-Exceptions,code snippet injection
101,5,Unhandled-Exceptions,code snippet injection
91,9,Unhandled-Exceptions,code snippet injection
87,3,Unhandled-Exceptions,code snippet injection
84,2,Unhandled-Exceptions,code snippet injection
80,3,Unhandled-Exceptions,code snippet injection
76,3,Unhandled-Exceptions,code snippet injection
67,8,Unhandled-Exceptions,code snippet injection
57,9,Unhandled-Exceptions,code snippet injection
51,5,Unhandled-Exceptions,code snippet injection
41,9,Unhandled-Exceptions,code snippet injection
34,6,Unhandled-Exceptions,code snippet injection
25,8,Unhandled-Exceptions,code snippet injection
22,2,Unhandled-Exceptions,code snippet injection
