loc,length,bug type,approach
120,3,Unhandled-Exceptions,code snippet injection
116,3,Unhandled-Exceptions,code snippet injection
19,6,Unhandled-Exceptions,code snippet injection
241,3,Unhandled-Exceptions,code snippet injection
225,8,Unhandled-Exceptions,code snippet injection
216,3,Unhandled-Exceptions,code snippet injection
202,5,Unhandled-Exceptions,code snippet injection
183,9,Unhandled-Exceptions,code snippet injection
174,5,Unhandled-Exceptions,code snippet injection
161,5,Unhandled-Exceptions,code snippet injection
135,5,Unhandled-Exceptions,code snippet injection
129,3,Unhandled-Exceptions,code snippet injection
51,8,Unhandled-Exceptions,code snippet injection
44,3,Unhandled-Exceptions,code snippet injection
30,3,Unhandled-Exceptions,code snippet injection
147,3,Unhandled-Exceptions,code snippet injection
142,3,Unhandled-Exceptions,code snippet injection
111,3,Unhandled-Exceptions,code snippet injection
105,5,Unhandled-Exceptions,code snippet injection
95,9,Unhandled-Exceptions,code snippet injection
91,2,Unhandled-Exceptions,code snippet injection
87,3,Unhandled-Exceptions,code snippet injection
77,9,Unhandled-Exceptions,code snippet injection
67,9,Unhandled-Exceptions,code snippet injection
63,3,Unhandled-Exceptions,code snippet injection
8,9,Unhandled-Exceptions,code snippet injection
