loc,length,bug type,approach
141,3,Unhandled-Exceptions,code snippet injection
108,3,Unhandled-Exceptions,code snippet injection
101,6,Unhandled-Exceptions,code snippet injection
515,3,Unhandled-Exceptions,code snippet injection
500,8,Unhandled-Exceptions,code snippet injection
491,3,Unhandled-Exceptions,code snippet injection
480,5,Unhandled-Exceptions,code snippet injection
466,9,Unhandled-Exceptions,code snippet injection
457,5,Unhandled-Exceptions,code snippet injection
428,5,Unhandled-Exceptions,code snippet injection
410,5,Unhandled-Exceptions,code snippet injection
398,3,Unhandled-Exceptions,code snippet injection
371,8,Unhandled-Exceptions,code snippet injection
353,3,Unhandled-Exceptions,code snippet injection
336,3,Unhandled-Exceptions,code snippet injection
329,3,Unhandled-Exceptions,code snippet injection
319,3,Unhandled-Exceptions,code snippet injection
303,3,Unhandled-Exceptions,code snippet injection
176,5,Unhandled-Exceptions,code snippet injection
160,9,Unhandled-Exceptions,code snippet injection
149,2,Unhandled-Exceptions,code snippet injection
119,3,Unhandled-Exceptions,code snippet injection
91,9,Unhandled-Exceptions,code snippet injection
81,9,Unhandled-Exceptions,code snippet injection
77,3,Unhandled-Exceptions,code snippet injection
67,9,Unhandled-Exceptions,code snippet injection
64,2,Unhandled-Exceptions,code snippet injection
60,3,Unhandled-Exceptions,code snippet injection
49,3,Unhandled-Exceptions,code snippet injection
39,6,Unhandled-Exceptions,code snippet injection
29,6,Unhandled-Exceptions,code snippet injection
22,3,Unhandled-Exceptions,code snippet injection
275,3,Unhandled-Exceptions,code snippet injection
271,3,Unhandled-Exceptions,code snippet injection
265,5,Unhandled-Exceptions,code snippet injection
258,5,Unhandled-Exceptions,code snippet injection
248,9,Unhandled-Exceptions,code snippet injection
244,3,Unhandled-Exceptions,code snippet injection
240,2,Unhandled-Exceptions,code snippet injection
236,3,Unhandled-Exceptions,code snippet injection
232,3,Unhandled-Exceptions,code snippet injection
223,8,Unhandled-Exceptions,code snippet injection
213,9,Unhandled-Exceptions,code snippet injection
207,5,Unhandled-Exceptions,code snippet injection
197,9,Unhandled-Exceptions,code snippet injection
190,6,Unhandled-Exceptions,code snippet injection
131,8,Unhandled-Exceptions,code snippet injection
128,2,Unhandled-Exceptions,code snippet injection
