loc,length,bug type,approach
352,3,Unhandled-Exceptions,code snippet injection
344,3,Unhandled-Exceptions,code snippet injection
333,6,Unhandled-Exceptions,code snippet injection
325,3,Unhandled-Exceptions,code snippet injection
312,8,Unhandled-Exceptions,code snippet injection
304,3,Unhandled-Exceptions,code snippet injection
294,5,Unhandled-Exceptions,code snippet injection
228,9,Unhandled-Exceptions,code snippet injection
220,5,Unhandled-Exceptions,code snippet injection
212,5,Unhandled-Exceptions,code snippet injection
204,5,Unhandled-Exceptions,code snippet injection
177,3,Unhandled-Exceptions,code snippet injection
163,8,Unhandled-Exceptions,code snippet injection
157,3,Unhandled-Exceptions,code snippet injection
149,3,Unhandled-Exceptions,code snippet injection
141,3,Unhandled-Exceptions,code snippet injection
132,3,Unhandled-Exceptions,code snippet injection
122,3,Unhandled-Exceptions,code snippet injection
113,5,Unhandled-Exceptions,code snippet injection
100,9,Unhandled-Exceptions,code snippet injection
93,2,Unhandled-Exceptions,code snippet injection
86,3,Unhandled-Exceptions,code snippet injection
74,9,Unhandled-Exceptions,code snippet injection
61,9,Unhandled-Exceptions,code snippet injection
55,3,Unhandled-Exceptions,code snippet injection
23,9,Unhandled-Exceptions,code snippet injection
18,2,Unhandled-Exceptions,code snippet injection
284,3,Unhandled-Exceptions,code snippet injection
280,3,Unhandled-Exceptions,code snippet injection
273,6,Unhandled-Exceptions,code snippet injection
191,6,Unhandled-Exceptions,code snippet injection
187,3,Unhandled-Exceptions,code snippet injection
183,3,Unhandled-Exceptions,code snippet injection
48,3,Unhandled-Exceptions,code snippet injection
42,5,Unhandled-Exceptions,code snippet injection
36,5,Unhandled-Exceptions,code snippet injection
