loc,length,bug type,approach
157,3,Unhandled-Exceptions,code snippet injection
60,3,Unhandled-Exceptions,code snippet injection
191,6,Unhandled-Exceptions,code snippet injection
184,3,Unhandled-Exceptions,code snippet injection
167,8,Unhandled-Exceptions,code snippet injection
145,3,Unhandled-Exceptions,code snippet injection
132,5,Unhandled-Exceptions,code snippet injection
116,9,Unhandled-Exceptions,code snippet injection
100,5,Unhandled-Exceptions,code snippet injection
82,5,Unhandled-Exceptions,code snippet injection
71,5,Unhandled-Exceptions,code snippet injection
41,3,Unhandled-Exceptions,code snippet injection
29,8,Unhandled-Exceptions,code snippet injection
22,3,Unhandled-Exceptions,code snippet injection
152,3,Unhandled-Exceptions,code snippet injection
56,3,Unhandled-Exceptions,code snippet injection
