loc,length,bug type,approach
1491,3,Unhandled-Exceptions,code snippet injection
1483,3,Unhandled-Exceptions,code snippet injection
609,6,Unhandled-Exceptions,code snippet injection
605,3,Unhandled-Exceptions,code snippet injection
596,8,Unhandled-Exceptions,code snippet injection
483,3,Unhandled-Exceptions,code snippet injection
477,5,Unhandled-Exceptions,code snippet injection
433,9,Unhandled-Exceptions,code snippet injection
427,5,Unhandled-Exceptions,code snippet injection
387,5,Unhandled-Exceptions,code snippet injection
381,5,Unhandled-Exceptions,code snippet injection
343,3,Unhandled-Exceptions,code snippet injection
334,8,Unhandled-Exceptions,code snippet injection
1716,3,Unhandled-Exceptions,code snippet injection
1699,3,Unhandled-Exceptions,code snippet injection
1691,3,Unhandled-Exceptions,code snippet injection
1683,3,Unhandled-Exceptions,code snippet injection
1674,3,Unhandled-Exceptions,code snippet injection
1664,5,Unhandled-Exceptions,code snippet injection
1650,9,Unhandled-Exceptions,code snippet injection
1642,2,Unhandled-Exceptions,code snippet injection
1629,3,Unhandled-Exceptions,code snippet injection
1612,9,Unhandled-Exceptions,code snippet injection
1587,9,Unhandled-Exceptions,code snippet injection
1580,3,Unhandled-Exceptions,code snippet injection
1567,9,Unhandled-Exceptions,code snippet injection
1555,2,Unhandled-Exceptions,code snippet injection
1544,3,Unhandled-Exceptions,code snippet injection
1517,3,Unhandled-Exceptions,code snippet injection
1504,6,Unhandled-Exceptions,code snippet injection
1462,6,Unhandled-Exceptions,code snippet injection
1443,3,Unhandled-Exceptions,code snippet injection
1429,3,Unhandled-Exceptions,code snippet injection
1416,3,Unhandled-Exceptions,code snippet injection
1397,5,Unhandled-Exceptions,code snippet injection
1370,5,Unhandled-Exceptions,code snippet injection
1353,9,Unhandled-Exceptions,code snippet injection
1342,3,Unhandled-Exceptions,code snippet injection
1306,2,Unhandled-Exceptions,code snippet injection
1302,3,Unhandled-Exceptions,code snippet injection
1298,3,Unhandled-Exceptions,code snippet injection
1282,8,Unhandled-Exceptions,code snippet injection
1248,9,Unhandled-Exceptions,code snippet injection
1213,5,Unhandled-Exceptions,code snippet injection
1195,9,Unhandled-Exceptions,code snippet injection
1179,6,Unhandled-Exceptions,code snippet injection
1162,8,Unhandled-Exceptions,code snippet injection
1143,2,Unhandled-Exceptions,code snippet injection
