loc,length,bug type,approach
97,3,Unhandled-Exceptions,code snippet injection
93,3,Unhandled-Exceptions,code snippet injection
86,6,Unhandled-Exceptions,code snippet injection
82,3,Unhandled-Exceptions,code snippet injection
617,8,Unhandled-Exceptions,code snippet injection
609,3,Unhandled-Exceptions,code snippet injection
603,5,Unhandled-Exceptions,code snippet injection
593,9,Unhandled-Exceptions,code snippet injection
587,5,Unhandled-Exceptions,code snippet injection
580,5,Unhandled-Exceptions,code snippet injection
572,5,Unhandled-Exceptions,code snippet injection
566,3,Unhandled-Exceptions,code snippet injection
554,8,Unhandled-Exceptions,code snippet injection
532,3,Unhandled-Exceptions,code snippet injection
525,3,Unhandled-Exceptions,code snippet injection
519,3,Unhandled-Exceptions,code snippet injection
512,3,Unhandled-Exceptions,code snippet injection
506,3,Unhandled-Exceptions,code snippet injection
498,5,Unhandled-Exceptions,code snippet injection
485,9,Unhandled-Exceptions,code snippet injection
450,2,Unhandled-Exceptions,code snippet injection
414,3,Unhandled-Exceptions,code snippet injection
371,9,Unhandled-Exceptions,code snippet injection
347,9,Unhandled-Exceptions,code snippet injection
269,3,Unhandled-Exceptions,code snippet injection
195,9,Unhandled-Exceptions,code snippet injection
78,2,Unhandled-Exceptions,code snippet injection
74,3,Unhandled-Exceptions,code snippet injection
70,3,Unhandled-Exceptions,code snippet injection
51,6,Unhandled-Exceptions,code snippet injection
44,6,Unhandled-Exceptions,code snippet injection
40,3,Unhandled-Exceptions,code snippet injection
36,3,Unhandled-Exceptions,code snippet injection
32,3,Unhandled-Exceptions,code snippet injection
26,5,Unhandled-Exceptions,code snippet injection
20,5,Unhandled-Exceptions,code snippet injection
