loc,length,bug type,approach
528,3,Unhandled-Exceptions,code snippet injection
524,3,Unhandled-Exceptions,code snippet injection
491,6,Unhandled-Exceptions,code snippet injection
463,3,Unhandled-Exceptions,code snippet injection
376,8,Unhandled-Exceptions,code snippet injection
372,3,Unhandled-Exceptions,code snippet injection
329,5,Unhandled-Exceptions,code snippet injection
319,9,Unhandled-Exceptions,code snippet injection
276,5,Unhandled-Exceptions,code snippet injection
267,5,Unhandled-Exceptions,code snippet injection
673,5,Unhandled-Exceptions,code snippet injection
666,3,Unhandled-Exceptions,code snippet injection
654,8,Unhandled-Exceptions,code snippet injection
637,3,Unhandled-Exceptions,code snippet injection
620,3,Unhandled-Exceptions,code snippet injection
604,3,Unhandled-Exceptions,code snippet injection
592,3,Unhandled-Exceptions,code snippet injection
580,3,Unhandled-Exceptions,code snippet injection
572,5,Unhandled-Exceptions,code snippet injection
560,9,Unhandled-Exceptions,code snippet injection
540,2,Unhandled-Exceptions,code snippet injection
505,3,Unhandled-Exceptions,code snippet injection
480,9,Unhandled-Exceptions,code snippet injection
452,9,Unhandled-Exceptions,code snippet injection
435,3,Unhandled-Exceptions,code snippet injection
413,9,Unhandled-Exceptions,code snippet injection
407,2,Unhandled-Exceptions,code snippet injection
399,3,Unhandled-Exceptions,code snippet injection
367,3,Unhandled-Exceptions,code snippet injection
355,6,Unhandled-Exceptions,code snippet injection
311,6,Unhandled-Exceptions,code snippet injection
301,3,Unhandled-Exceptions,code snippet injection
293,3,Unhandled-Exceptions,code snippet injection
260,3,Unhandled-Exceptions,code snippet injection
241,5,Unhandled-Exceptions,code snippet injection
229,5,Unhandled-Exceptions,code snippet injection
211,9,Unhandled-Exceptions,code snippet injection
199,3,Unhandled-Exceptions,code snippet injection
188,2,Unhandled-Exceptions,code snippet injection
176,3,Unhandled-Exceptions,code snippet injection
164,3,Unhandled-Exceptions,code snippet injection
148,8,Unhandled-Exceptions,code snippet injection
130,9,Unhandled-Exceptions,code snippet injection
119,5,Unhandled-Exceptions,code snippet injection
105,9,Unhandled-Exceptions,code snippet injection
94,6,Unhandled-Exceptions,code snippet injection
514,8,Unhandled-Exceptions,code snippet injection
386,2,Unhandled-Exceptions,code snippet injection
