loc,length,bug type,approach
81,3,Unhandled-Exceptions,code snippet injection
77,3,Unhandled-Exceptions,code snippet injection
265,6,Unhandled-Exceptions,code snippet injection
234,3,Unhandled-Exceptions,code snippet injection
213,8,Unhandled-Exceptions,code snippet injection
197,3,Unhandled-Exceptions,code snippet injection
182,5,Unhandled-Exceptions,code snippet injection
156,9,Unhandled-Exceptions,code snippet injection
132,5,Unhandled-Exceptions,code snippet injection
118,5,Unhandled-Exceptions,code snippet injection
71,5,Unhandled-Exceptions,code snippet injection
67,3,Unhandled-Exceptions,code snippet injection
58,8,Unhandled-Exceptions,code snippet injection
54,3,Unhandled-Exceptions,code snippet injection
50,3,Unhandled-Exceptions,code snippet injection
255,3,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
246,3,Unhandled-Exceptions,code snippet injection
240,5,Unhandled-Exceptions,code snippet injection
92,9,Unhandled-Exceptions,code snippet injection
89,2,Unhandled-Exceptions,code snippet injection
44,3,Unhandled-Exceptions,code snippet injection
