loc,length,bug type,approach
198,3,Unhandled-Exceptions,code snippet injection
194,3,Unhandled-Exceptions,code snippet injection
187,6,Unhandled-Exceptions,code snippet injection
68,3,Unhandled-Exceptions,code snippet injection
56,8,Unhandled-Exceptions,code snippet injection
558,3,Unhandled-Exceptions,code snippet injection
549,5,Unhandled-Exceptions,code snippet injection
523,9,Unhandled-Exceptions,code snippet injection
508,5,Unhandled-Exceptions,code snippet injection
475,5,Unhandled-Exceptions,code snippet injection
463,5,Unhandled-Exceptions,code snippet injection
446,3,Unhandled-Exceptions,code snippet injection
393,8,Unhandled-Exceptions,code snippet injection
384,3,Unhandled-Exceptions,code snippet injection
375,3,Unhandled-Exceptions,code snippet injection
368,3,Unhandled-Exceptions,code snippet injection
363,3,Unhandled-Exceptions,code snippet injection
355,3,Unhandled-Exceptions,code snippet injection
337,5,Unhandled-Exceptions,code snippet injection
173,9,Unhandled-Exceptions,code snippet injection
160,2,Unhandled-Exceptions,code snippet injection
152,3,Unhandled-Exceptions,code snippet injection
139,9,Unhandled-Exceptions,code snippet injection
110,9,Unhandled-Exceptions,code snippet injection
101,3,Unhandled-Exceptions,code snippet injection
88,9,Unhandled-Exceptions,code snippet injection
76,2,Unhandled-Exceptions,code snippet injection
326,3,Unhandled-Exceptions,code snippet injection
316,3,Unhandled-Exceptions,code snippet injection
308,6,Unhandled-Exceptions,code snippet injection
301,6,Unhandled-Exceptions,code snippet injection
297,3,Unhandled-Exceptions,code snippet injection
293,3,Unhandled-Exceptions,code snippet injection
289,3,Unhandled-Exceptions,code snippet injection
283,5,Unhandled-Exceptions,code snippet injection
276,5,Unhandled-Exceptions,code snippet injection
266,9,Unhandled-Exceptions,code snippet injection
262,3,Unhandled-Exceptions,code snippet injection
259,2,Unhandled-Exceptions,code snippet injection
255,3,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
241,8,Unhandled-Exceptions,code snippet injection
231,9,Unhandled-Exceptions,code snippet injection
225,5,Unhandled-Exceptions,code snippet injection
214,9,Unhandled-Exceptions,code snippet injection
207,6,Unhandled-Exceptions,code snippet injection
124,8,Unhandled-Exceptions,code snippet injection
52,2,Unhandled-Exceptions,code snippet injection
