loc,length,bug type,approach
130,3,Unhandled-Exceptions,code snippet injection
92,3,Unhandled-Exceptions,code snippet injection
85,6,Unhandled-Exceptions,code snippet injection
372,3,Unhandled-Exceptions,code snippet injection
356,8,Unhandled-Exceptions,code snippet injection
345,3,Unhandled-Exceptions,code snippet injection
327,5,Unhandled-Exceptions,code snippet injection
309,9,Unhandled-Exceptions,code snippet injection
286,5,Unhandled-Exceptions,code snippet injection
266,5,Unhandled-Exceptions,code snippet injection
248,5,Unhandled-Exceptions,code snippet injection
237,3,Unhandled-Exceptions,code snippet injection
221,8,Unhandled-Exceptions,code snippet injection
159,3,Unhandled-Exceptions,code snippet injection
150,3,Unhandled-Exceptions,code snippet injection
138,3,Unhandled-Exceptions,code snippet injection
105,3,Unhandled-Exceptions,code snippet injection
81,3,Unhandled-Exceptions,code snippet injection
75,5,Unhandled-Exceptions,code snippet injection
65,9,Unhandled-Exceptions,code snippet injection
62,2,Unhandled-Exceptions,code snippet injection
58,3,Unhandled-Exceptions,code snippet injection
48,9,Unhandled-Exceptions,code snippet injection
198,9,Unhandled-Exceptions,code snippet injection
194,3,Unhandled-Exceptions,code snippet injection
183,9,Unhandled-Exceptions,code snippet injection
180,2,Unhandled-Exceptions,code snippet injection
176,3,Unhandled-Exceptions,code snippet injection
172,3,Unhandled-Exceptions,code snippet injection
122,6,Unhandled-Exceptions,code snippet injection
115,6,Unhandled-Exceptions,code snippet injection
