loc,length,bug type,approach
114,3,Unhandled-Exceptions,code snippet injection
110,3,Unhandled-Exceptions,code snippet injection
103,6,Unhandled-Exceptions,code snippet injection
99,3,Unhandled-Exceptions,code snippet injection
90,8,Unhandled-Exceptions,code snippet injection
263,3,Unhandled-Exceptions,code snippet injection
233,5,Unhandled-Exceptions,code snippet injection
204,9,Unhandled-Exceptions,code snippet injection
189,5,Unhandled-Exceptions,code snippet injection
172,5,Unhandled-Exceptions,code snippet injection
147,5,Unhandled-Exceptions,code snippet injection
85,3,Unhandled-Exceptions,code snippet injection
75,8,Unhandled-Exceptions,code snippet injection
70,3,Unhandled-Exceptions,code snippet injection
65,3,Unhandled-Exceptions,code snippet injection
60,3,Unhandled-Exceptions,code snippet injection
