loc,length,bug type,approach
931,3,Unhandled-Exceptions,code snippet injection
774,3,Unhandled-Exceptions,code snippet injection
767,6,Unhandled-Exceptions,code snippet injection
739,3,Unhandled-Exceptions,code snippet injection
712,8,Unhandled-Exceptions,code snippet injection
635,3,Unhandled-Exceptions,code snippet injection
629,5,Unhandled-Exceptions,code snippet injection
574,9,Unhandled-Exceptions,code snippet injection
568,5,Unhandled-Exceptions,code snippet injection
515,5,Unhandled-Exceptions,code snippet injection
506,5,Unhandled-Exceptions,code snippet injection
950,3,Unhandled-Exceptions,code snippet injection
920,8,Unhandled-Exceptions,code snippet injection
913,3,Unhandled-Exceptions,code snippet injection
906,3,Unhandled-Exceptions,code snippet injection
889,3,Unhandled-Exceptions,code snippet injection
872,3,Unhandled-Exceptions,code snippet injection
856,3,Unhandled-Exceptions,code snippet injection
842,5,Unhandled-Exceptions,code snippet injection
824,9,Unhandled-Exceptions,code snippet injection
819,2,Unhandled-Exceptions,code snippet injection
813,3,Unhandled-Exceptions,code snippet injection
786,9,Unhandled-Exceptions,code snippet injection
750,9,Unhandled-Exceptions,code snippet injection
734,3,Unhandled-Exceptions,code snippet injection
701,9,Unhandled-Exceptions,code snippet injection
685,2,Unhandled-Exceptions,code snippet injection
669,3,Unhandled-Exceptions,code snippet injection
662,3,Unhandled-Exceptions,code snippet injection
651,6,Unhandled-Exceptions,code snippet injection
621,6,Unhandled-Exceptions,code snippet injection
610,3,Unhandled-Exceptions,code snippet injection
563,3,Unhandled-Exceptions,code snippet injection
550,3,Unhandled-Exceptions,code snippet injection
537,5,Unhandled-Exceptions,code snippet injection
497,5,Unhandled-Exceptions,code snippet injection
474,9,Unhandled-Exceptions,code snippet injection
460,3,Unhandled-Exceptions,code snippet injection
437,2,Unhandled-Exceptions,code snippet injection
415,3,Unhandled-Exceptions,code snippet injection
395,3,Unhandled-Exceptions,code snippet injection
364,8,Unhandled-Exceptions,code snippet injection
336,9,Unhandled-Exceptions,code snippet injection
314,5,Unhandled-Exceptions,code snippet injection
287,9,Unhandled-Exceptions,code snippet injection
269,6,Unhandled-Exceptions,code snippet injection
254,8,Unhandled-Exceptions,code snippet injection
239,2,Unhandled-Exceptions,code snippet injection
