loc,length,bug type,approach
124,3,Unhandled-Exceptions,code snippet injection
120,3,Unhandled-Exceptions,code snippet injection
113,6,Unhandled-Exceptions,code snippet injection
109,3,Unhandled-Exceptions,code snippet injection
288,8,Unhandled-Exceptions,code snippet injection
274,3,Unhandled-Exceptions,code snippet injection
253,5,Unhandled-Exceptions,code snippet injection
239,9,Unhandled-Exceptions,code snippet injection
228,5,Unhandled-Exceptions,code snippet injection
217,5,Unhandled-Exceptions,code snippet injection
188,5,Unhandled-Exceptions,code snippet injection
175,3,Unhandled-Exceptions,code snippet injection
66,8,Unhandled-Exceptions,code snippet injection
55,3,Unhandled-Exceptions,code snippet injection
44,3,Unhandled-Exceptions,code snippet injection
32,3,Unhandled-Exceptions,code snippet injection
104,3,Unhandled-Exceptions,code snippet injection
99,3,Unhandled-Exceptions,code snippet injection
93,5,Unhandled-Exceptions,code snippet injection
13,9,Unhandled-Exceptions,code snippet injection
10,2,Unhandled-Exceptions,code snippet injection
