loc,length,bug type,approach
664,3,Unhandled-Exceptions,code snippet injection
493,3,Unhandled-Exceptions,code snippet injection
486,6,Unhandled-Exceptions,code snippet injection
423,3,Unhandled-Exceptions,code snippet injection
655,8,Unhandled-Exceptions,code snippet injection
645,3,Unhandled-Exceptions,code snippet injection
631,5,Unhandled-Exceptions,code snippet injection
591,9,Unhandled-Exceptions,code snippet injection
582,5,Unhandled-Exceptions,code snippet injection
573,5,Unhandled-Exceptions,code snippet injection
564,5,Unhandled-Exceptions,code snippet injection
557,3,Unhandled-Exceptions,code snippet injection
539,8,Unhandled-Exceptions,code snippet injection
528,3,Unhandled-Exceptions,code snippet injection
476,3,Unhandled-Exceptions,code snippet injection
463,3,Unhandled-Exceptions,code snippet injection
445,3,Unhandled-Exceptions,code snippet injection
435,3,Unhandled-Exceptions,code snippet injection
399,5,Unhandled-Exceptions,code snippet injection
379,9,Unhandled-Exceptions,code snippet injection
356,2,Unhandled-Exceptions,code snippet injection
334,3,Unhandled-Exceptions,code snippet injection
308,9,Unhandled-Exceptions,code snippet injection
276,9,Unhandled-Exceptions,code snippet injection
254,3,Unhandled-Exceptions,code snippet injection
228,9,Unhandled-Exceptions,code snippet injection
208,2,Unhandled-Exceptions,code snippet injection
193,3,Unhandled-Exceptions,code snippet injection
183,3,Unhandled-Exceptions,code snippet injection
164,6,Unhandled-Exceptions,code snippet injection
151,6,Unhandled-Exceptions,code snippet injection
618,3,Unhandled-Exceptions,code snippet injection
614,3,Unhandled-Exceptions,code snippet injection
610,3,Unhandled-Exceptions,code snippet injection
498,5,Unhandled-Exceptions,code snippet injection
416,5,Unhandled-Exceptions,code snippet injection
134,9,Unhandled-Exceptions,code snippet injection
129,3,Unhandled-Exceptions,code snippet injection
125,2,Unhandled-Exceptions,code snippet injection
