loc,length,bug type,approach
181,3,Unhandled-Exceptions,code snippet injection
177,3,Unhandled-Exceptions,code snippet injection
46,6,Unhandled-Exceptions,code snippet injection
343,3,Unhandled-Exceptions,code snippet injection
329,8,Unhandled-Exceptions,code snippet injection
320,3,Unhandled-Exceptions,code snippet injection
306,5,Unhandled-Exceptions,code snippet injection
289,9,Unhandled-Exceptions,code snippet injection
280,5,Unhandled-Exceptions,code snippet injection
269,5,Unhandled-Exceptions,code snippet injection
260,5,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
237,8,Unhandled-Exceptions,code snippet injection
222,3,Unhandled-Exceptions,code snippet injection
171,3,Unhandled-Exceptions,code snippet injection
164,3,Unhandled-Exceptions,code snippet injection
157,3,Unhandled-Exceptions,code snippet injection
150,3,Unhandled-Exceptions,code snippet injection
118,5,Unhandled-Exceptions,code snippet injection
103,9,Unhandled-Exceptions,code snippet injection
97,2,Unhandled-Exceptions,code snippet injection
89,3,Unhandled-Exceptions,code snippet injection
71,9,Unhandled-Exceptions,code snippet injection
58,9,Unhandled-Exceptions,code snippet injection
204,3,Unhandled-Exceptions,code snippet injection
194,9,Unhandled-Exceptions,code snippet injection
191,2,Unhandled-Exceptions,code snippet injection
186,3,Unhandled-Exceptions,code snippet injection
140,3,Unhandled-Exceptions,code snippet injection
133,6,Unhandled-Exceptions,code snippet injection
126,6,Unhandled-Exceptions,code snippet injection
41,3,Unhandled-Exceptions,code snippet injection
