loc,length,bug type,approach
216,3,Unhandled-Exceptions,code snippet injection
212,3,Unhandled-Exceptions,code snippet injection
205,6,Unhandled-Exceptions,code snippet injection
201,3,Unhandled-Exceptions,code snippet injection
192,8,Unhandled-Exceptions,code snippet injection
188,3,Unhandled-Exceptions,code snippet injection
14,5,Unhandled-Exceptions,code snippet injection
783,9,Unhandled-Exceptions,code snippet injection
771,5,Unhandled-Exceptions,code snippet injection
741,5,Unhandled-Exceptions,code snippet injection
712,5,Unhandled-Exceptions,code snippet injection
696,3,Unhandled-Exceptions,code snippet injection
667,8,Unhandled-Exceptions,code snippet injection
654,3,Unhandled-Exceptions,code snippet injection
641,3,Unhandled-Exceptions,code snippet injection
623,3,Unhandled-Exceptions,code snippet injection
611,3,Unhandled-Exceptions,code snippet injection
581,3,Unhandled-Exceptions,code snippet injection
571,5,Unhandled-Exceptions,code snippet injection
543,9,Unhandled-Exceptions,code snippet injection
537,2,Unhandled-Exceptions,code snippet injection
529,3,Unhandled-Exceptions,code snippet injection
516,9,Unhandled-Exceptions,code snippet injection
490,9,Unhandled-Exceptions,code snippet injection
479,3,Unhandled-Exceptions,code snippet injection
462,9,Unhandled-Exceptions,code snippet injection
455,2,Unhandled-Exceptions,code snippet injection
447,3,Unhandled-Exceptions,code snippet injection
437,3,Unhandled-Exceptions,code snippet injection
423,6,Unhandled-Exceptions,code snippet injection
389,6,Unhandled-Exceptions,code snippet injection
332,3,Unhandled-Exceptions,code snippet injection
324,3,Unhandled-Exceptions,code snippet injection
316,3,Unhandled-Exceptions,code snippet injection
306,5,Unhandled-Exceptions,code snippet injection
297,5,Unhandled-Exceptions,code snippet injection
281,9,Unhandled-Exceptions,code snippet injection
271,3,Unhandled-Exceptions,code snippet injection
265,2,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
247,3,Unhandled-Exceptions,code snippet injection
177,8,Unhandled-Exceptions,code snippet injection
164,9,Unhandled-Exceptions,code snippet injection
151,5,Unhandled-Exceptions,code snippet injection
136,9,Unhandled-Exceptions,code snippet injection
126,6,Unhandled-Exceptions,code snippet injection
113,8,Unhandled-Exceptions,code snippet injection
104,2,Unhandled-Exceptions,code snippet injection
