loc,length,bug type,approach
254,3,Unhandled-Exceptions,code snippet injection
125,3,Unhandled-Exceptions,code snippet injection
118,6,Unhandled-Exceptions,code snippet injection
42,3,Unhandled-Exceptions,code snippet injection
533,8,Unhandled-Exceptions,code snippet injection
510,3,Unhandled-Exceptions,code snippet injection
492,5,Unhandled-Exceptions,code snippet injection
476,9,Unhandled-Exceptions,code snippet injection
449,5,Unhandled-Exceptions,code snippet injection
434,5,Unhandled-Exceptions,code snippet injection
410,5,Unhandled-Exceptions,code snippet injection
401,3,Unhandled-Exceptions,code snippet injection
387,8,Unhandled-Exceptions,code snippet injection
380,3,Unhandled-Exceptions,code snippet injection
373,3,Unhandled-Exceptions,code snippet injection
360,3,Unhandled-Exceptions,code snippet injection
352,3,Unhandled-Exceptions,code snippet injection
336,3,Unhandled-Exceptions,code snippet injection
323,5,Unhandled-Exceptions,code snippet injection
307,9,Unhandled-Exceptions,code snippet injection
300,2,Unhandled-Exceptions,code snippet injection
290,3,Unhandled-Exceptions,code snippet injection
108,9,Unhandled-Exceptions,code snippet injection
98,9,Unhandled-Exceptions,code snippet injection
94,3,Unhandled-Exceptions,code snippet injection
84,9,Unhandled-Exceptions,code snippet injection
81,2,Unhandled-Exceptions,code snippet injection
77,3,Unhandled-Exceptions,code snippet injection
67,3,Unhandled-Exceptions,code snippet injection
55,6,Unhandled-Exceptions,code snippet injection
246,6,Unhandled-Exceptions,code snippet injection
242,3,Unhandled-Exceptions,code snippet injection
238,3,Unhandled-Exceptions,code snippet injection
232,3,Unhandled-Exceptions,code snippet injection
226,5,Unhandled-Exceptions,code snippet injection
219,5,Unhandled-Exceptions,code snippet injection
209,9,Unhandled-Exceptions,code snippet injection
205,3,Unhandled-Exceptions,code snippet injection
202,2,Unhandled-Exceptions,code snippet injection
197,3,Unhandled-Exceptions,code snippet injection
193,3,Unhandled-Exceptions,code snippet injection
184,8,Unhandled-Exceptions,code snippet injection
174,9,Unhandled-Exceptions,code snippet injection
168,5,Unhandled-Exceptions,code snippet injection
158,9,Unhandled-Exceptions,code snippet injection
151,6,Unhandled-Exceptions,code snippet injection
142,8,Unhandled-Exceptions,code snippet injection
139,2,Unhandled-Exceptions,code snippet injection
