loc,length,bug type,approach
442,3,Unhandled-Exceptions,code snippet injection
255,3,Unhandled-Exceptions,code snippet injection
248,6,Unhandled-Exceptions,code snippet injection
167,3,Unhandled-Exceptions,code snippet injection
158,8,Unhandled-Exceptions,code snippet injection
16,3,Unhandled-Exceptions,code snippet injection
520,5,Unhandled-Exceptions,code snippet injection
507,9,Unhandled-Exceptions,code snippet injection
496,5,Unhandled-Exceptions,code snippet injection
487,5,Unhandled-Exceptions,code snippet injection
475,5,Unhandled-Exceptions,code snippet injection
403,3,Unhandled-Exceptions,code snippet injection
391,8,Unhandled-Exceptions,code snippet injection
316,3,Unhandled-Exceptions,code snippet injection
305,3,Unhandled-Exceptions,code snippet injection
278,3,Unhandled-Exceptions,code snippet injection
268,3,Unhandled-Exceptions,code snippet injection
235,3,Unhandled-Exceptions,code snippet injection
225,5,Unhandled-Exceptions,code snippet injection
211,9,Unhandled-Exceptions,code snippet injection
205,2,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
180,9,Unhandled-Exceptions,code snippet injection
100,9,Unhandled-Exceptions,code snippet injection
87,3,Unhandled-Exceptions,code snippet injection
70,9,Unhandled-Exceptions,code snippet injection
57,2,Unhandled-Exceptions,code snippet injection
39,3,Unhandled-Exceptions,code snippet injection
29,3,Unhandled-Exceptions,code snippet injection
433,6,Unhandled-Exceptions,code snippet injection
424,6,Unhandled-Exceptions,code snippet injection
418,3,Unhandled-Exceptions,code snippet injection
260,3,Unhandled-Exceptions,code snippet injection
172,3,Unhandled-Exceptions,code snippet injection
9,5,Unhandled-Exceptions,code snippet injection
