loc,length,bug type,approach
674,3,Unhandled-Exceptions,code snippet injection
579,3,Unhandled-Exceptions,code snippet injection
572,6,Unhandled-Exceptions,code snippet injection
489,3,Unhandled-Exceptions,code snippet injection
480,8,Unhandled-Exceptions,code snippet injection
824,3,Unhandled-Exceptions,code snippet injection
810,5,Unhandled-Exceptions,code snippet injection
792,9,Unhandled-Exceptions,code snippet injection
778,5,Unhandled-Exceptions,code snippet injection
764,5,Unhandled-Exceptions,code snippet injection
753,5,Unhandled-Exceptions,code snippet injection
744,3,Unhandled-Exceptions,code snippet injection
730,8,Unhandled-Exceptions,code snippet injection
720,3,Unhandled-Exceptions,code snippet injection
700,3,Unhandled-Exceptions,code snippet injection
687,3,Unhandled-Exceptions,code snippet injection
653,3,Unhandled-Exceptions,code snippet injection
642,3,Unhandled-Exceptions,code snippet injection
613,5,Unhandled-Exceptions,code snippet injection
597,9,Unhandled-Exceptions,code snippet injection
561,2,Unhandled-Exceptions,code snippet injection
553,3,Unhandled-Exceptions,code snippet injection
539,9,Unhandled-Exceptions,code snippet injection
526,9,Unhandled-Exceptions,code snippet injection
519,3,Unhandled-Exceptions,code snippet injection
501,9,Unhandled-Exceptions,code snippet injection
435,2,Unhandled-Exceptions,code snippet injection
425,3,Unhandled-Exceptions,code snippet injection
415,3,Unhandled-Exceptions,code snippet injection
402,6,Unhandled-Exceptions,code snippet injection
376,6,Unhandled-Exceptions,code snippet injection
359,3,Unhandled-Exceptions,code snippet injection
347,3,Unhandled-Exceptions,code snippet injection
336,3,Unhandled-Exceptions,code snippet injection
317,5,Unhandled-Exceptions,code snippet injection
298,5,Unhandled-Exceptions,code snippet injection
275,9,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
240,2,Unhandled-Exceptions,code snippet injection
223,3,Unhandled-Exceptions,code snippet injection
206,3,Unhandled-Exceptions,code snippet injection
188,8,Unhandled-Exceptions,code snippet injection
169,9,Unhandled-Exceptions,code snippet injection
155,5,Unhandled-Exceptions,code snippet injection
137,9,Unhandled-Exceptions,code snippet injection
665,6,Unhandled-Exceptions,code snippet injection
584,8,Unhandled-Exceptions,code snippet injection
494,2,Unhandled-Exceptions,code snippet injection
