loc,length,bug type,approach
605,3,Unhandled-Exceptions,code snippet injection
230,3,Unhandled-Exceptions,code snippet injection
223,6,Unhandled-Exceptions,code snippet injection
101,3,Unhandled-Exceptions,code snippet injection
92,8,Unhandled-Exceptions,code snippet injection
70,3,Unhandled-Exceptions,code snippet injection
30,5,Unhandled-Exceptions,code snippet injection
818,9,Unhandled-Exceptions,code snippet injection
790,5,Unhandled-Exceptions,code snippet injection
768,5,Unhandled-Exceptions,code snippet injection
751,5,Unhandled-Exceptions,code snippet injection
729,3,Unhandled-Exceptions,code snippet injection
708,8,Unhandled-Exceptions,code snippet injection
693,3,Unhandled-Exceptions,code snippet injection
658,3,Unhandled-Exceptions,code snippet injection
640,3,Unhandled-Exceptions,code snippet injection
627,3,Unhandled-Exceptions,code snippet injection
595,3,Unhandled-Exceptions,code snippet injection
576,5,Unhandled-Exceptions,code snippet injection
556,9,Unhandled-Exceptions,code snippet injection
539,2,Unhandled-Exceptions,code snippet injection
523,3,Unhandled-Exceptions,code snippet injection
500,9,Unhandled-Exceptions,code snippet injection
476,9,Unhandled-Exceptions,code snippet injection
458,3,Unhandled-Exceptions,code snippet injection
436,9,Unhandled-Exceptions,code snippet injection
420,2,Unhandled-Exceptions,code snippet injection
407,3,Unhandled-Exceptions,code snippet injection
394,3,Unhandled-Exceptions,code snippet injection
379,6,Unhandled-Exceptions,code snippet injection
288,6,Unhandled-Exceptions,code snippet injection
277,3,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
240,3,Unhandled-Exceptions,code snippet injection
208,5,Unhandled-Exceptions,code snippet injection
192,5,Unhandled-Exceptions,code snippet injection
172,9,Unhandled-Exceptions,code snippet injection
162,3,Unhandled-Exceptions,code snippet injection
136,2,Unhandled-Exceptions,code snippet injection
126,3,Unhandled-Exceptions,code snippet injection
116,3,Unhandled-Exceptions,code snippet injection
70,8,Unhandled-Exceptions,code snippet injection
60,9,Unhandled-Exceptions,code snippet injection
54,5,Unhandled-Exceptions,code snippet injection
30,9,Unhandled-Exceptions,code snippet injection
23,6,Unhandled-Exceptions,code snippet injection
14,8,Unhandled-Exceptions,code snippet injection
807,2,Unhandled-Exceptions,code snippet injection
