loc,length,bug type,approach
536,3,Unhandled-Exceptions,code snippet injection
530,3,Unhandled-Exceptions,code snippet injection
521,6,Unhandled-Exceptions,code snippet injection
381,3,Unhandled-Exceptions,code snippet injection
372,8,Unhandled-Exceptions,code snippet injection
171,3,Unhandled-Exceptions,code snippet injection
144,5,Unhandled-Exceptions,code snippet injection
67,9,Unhandled-Exceptions,code snippet injection
58,5,Unhandled-Exceptions,code snippet injection
616,5,Unhandled-Exceptions,code snippet injection
604,5,Unhandled-Exceptions,code snippet injection
593,3,Unhandled-Exceptions,code snippet injection
576,8,Unhandled-Exceptions,code snippet injection
564,3,Unhandled-Exceptions,code snippet injection
552,3,Unhandled-Exceptions,code snippet injection
545,3,Unhandled-Exceptions,code snippet injection
483,3,Unhandled-Exceptions,code snippet injection
476,3,Unhandled-Exceptions,code snippet injection
467,5,Unhandled-Exceptions,code snippet injection
454,9,Unhandled-Exceptions,code snippet injection
448,2,Unhandled-Exceptions,code snippet injection
438,3,Unhandled-Exceptions,code snippet injection
421,9,Unhandled-Exceptions,code snippet injection
359,9,Unhandled-Exceptions,code snippet injection
335,3,Unhandled-Exceptions,code snippet injection
310,9,Unhandled-Exceptions,code snippet injection
298,2,Unhandled-Exceptions,code snippet injection
279,3,Unhandled-Exceptions,code snippet injection
239,3,Unhandled-Exceptions,code snippet injection
224,6,Unhandled-Exceptions,code snippet injection
203,6,Unhandled-Exceptions,code snippet injection
171,3,Unhandled-Exceptions,code snippet injection
167,3,Unhandled-Exceptions,code snippet injection
163,3,Unhandled-Exceptions,code snippet injection
144,5,Unhandled-Exceptions,code snippet injection
138,5,Unhandled-Exceptions,code snippet injection
128,9,Unhandled-Exceptions,code snippet injection
116,3,Unhandled-Exceptions,code snippet injection
106,2,Unhandled-Exceptions,code snippet injection
85,3,Unhandled-Exceptions,code snippet injection
515,3,Unhandled-Exceptions,code snippet injection
505,8,Unhandled-Exceptions,code snippet injection
495,9,Unhandled-Exceptions,code snippet injection
489,5,Unhandled-Exceptions,code snippet injection
386,9,Unhandled-Exceptions,code snippet injection
253,6,Unhandled-Exceptions,code snippet injection
187,8,Unhandled-Exceptions,code snippet injection
183,2,Unhandled-Exceptions,code snippet injection
