loc,length,bug type,approach
551,3,Unhandled-Exceptions,code snippet injection
547,3,Unhandled-Exceptions,code snippet injection
352,6,Unhandled-Exceptions,code snippet injection
348,3,Unhandled-Exceptions,code snippet injection
256,8,Unhandled-Exceptions,code snippet injection
37,3,Unhandled-Exceptions,code snippet injection
31,5,Unhandled-Exceptions,code snippet injection
716,9,Unhandled-Exceptions,code snippet injection
703,5,Unhandled-Exceptions,code snippet injection
690,5,Unhandled-Exceptions,code snippet injection
664,5,Unhandled-Exceptions,code snippet injection
654,3,Unhandled-Exceptions,code snippet injection
635,8,Unhandled-Exceptions,code snippet injection
627,3,Unhandled-Exceptions,code snippet injection
621,3,Unhandled-Exceptions,code snippet injection
614,3,Unhandled-Exceptions,code snippet injection
608,3,Unhandled-Exceptions,code snippet injection
602,3,Unhandled-Exceptions,code snippet injection
593,5,Unhandled-Exceptions,code snippet injection
565,9,Unhandled-Exceptions,code snippet injection
559,2,Unhandled-Exceptions,code snippet injection
543,3,Unhandled-Exceptions,code snippet injection
500,9,Unhandled-Exceptions,code snippet injection
483,9,Unhandled-Exceptions,code snippet injection
462,3,Unhandled-Exceptions,code snippet injection
449,9,Unhandled-Exceptions,code snippet injection
444,2,Unhandled-Exceptions,code snippet injection
438,3,Unhandled-Exceptions,code snippet injection
431,3,Unhandled-Exceptions,code snippet injection
391,6,Unhandled-Exceptions,code snippet injection
382,6,Unhandled-Exceptions,code snippet injection
378,3,Unhandled-Exceptions,code snippet injection
373,3,Unhandled-Exceptions,code snippet injection
369,3,Unhandled-Exceptions,code snippet injection
363,5,Unhandled-Exceptions,code snippet injection
328,5,Unhandled-Exceptions,code snippet injection
316,9,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
193,2,Unhandled-Exceptions,code snippet injection
187,3,Unhandled-Exceptions,code snippet injection
181,3,Unhandled-Exceptions,code snippet injection
153,8,Unhandled-Exceptions,code snippet injection
141,9,Unhandled-Exceptions,code snippet injection
133,5,Unhandled-Exceptions,code snippet injection
100,9,Unhandled-Exceptions,code snippet injection
77,6,Unhandled-Exceptions,code snippet injection
61,8,Unhandled-Exceptions,code snippet injection
51,2,Unhandled-Exceptions,code snippet injection
