loc,length,bug type,approach
87,3,Unhandled-Exceptions,code snippet injection
728,3,Unhandled-Exceptions,code snippet injection
716,6,Unhandled-Exceptions,code snippet injection
707,3,Unhandled-Exceptions,code snippet injection
687,8,Unhandled-Exceptions,code snippet injection
660,3,Unhandled-Exceptions,code snippet injection
646,5,Unhandled-Exceptions,code snippet injection
633,9,Unhandled-Exceptions,code snippet injection
617,5,Unhandled-Exceptions,code snippet injection
561,5,Unhandled-Exceptions,code snippet injection
551,5,Unhandled-Exceptions,code snippet injection
523,3,Unhandled-Exceptions,code snippet injection
479,8,Unhandled-Exceptions,code snippet injection
342,3,Unhandled-Exceptions,code snippet injection
338,3,Unhandled-Exceptions,code snippet injection
139,3,Unhandled-Exceptions,code snippet injection
131,3,Unhandled-Exceptions,code snippet injection
125,3,Unhandled-Exceptions,code snippet injection
116,5,Unhandled-Exceptions,code snippet injection
100,9,Unhandled-Exceptions,code snippet injection
95,2,Unhandled-Exceptions,code snippet injection
66,3,Unhandled-Exceptions,code snippet injection
43,9,Unhandled-Exceptions,code snippet injection
29,9,Unhandled-Exceptions,code snippet injection
21,3,Unhandled-Exceptions,code snippet injection
422,9,Unhandled-Exceptions,code snippet injection
417,2,Unhandled-Exceptions,code snippet injection
395,3,Unhandled-Exceptions,code snippet injection
373,3,Unhandled-Exceptions,code snippet injection
79,6,Unhandled-Exceptions,code snippet injection
55,6,Unhandled-Exceptions,code snippet injection
