loc,length,bug type,approach
425,3,Unhandled-Exceptions,code snippet injection
405,3,Unhandled-Exceptions,code snippet injection
386,6,Unhandled-Exceptions,code snippet injection
369,3,Unhandled-Exceptions,code snippet injection
347,8,Unhandled-Exceptions,code snippet injection
329,3,Unhandled-Exceptions,code snippet injection
310,5,Unhandled-Exceptions,code snippet injection
286,9,Unhandled-Exceptions,code snippet injection
266,5,Unhandled-Exceptions,code snippet injection
247,5,Unhandled-Exceptions,code snippet injection
228,5,Unhandled-Exceptions,code snippet injection
215,3,Unhandled-Exceptions,code snippet injection
197,8,Unhandled-Exceptions,code snippet injection
185,3,Unhandled-Exceptions,code snippet injection
151,3,Unhandled-Exceptions,code snippet injection
141,3,Unhandled-Exceptions,code snippet injection
131,3,Unhandled-Exceptions,code snippet injection
121,3,Unhandled-Exceptions,code snippet injection
414,5,Unhandled-Exceptions,code snippet injection
168,9,Unhandled-Exceptions,code snippet injection
164,2,Unhandled-Exceptions,code snippet injection
159,3,Unhandled-Exceptions,code snippet injection
105,9,Unhandled-Exceptions,code snippet injection
95,9,Unhandled-Exceptions,code snippet injection
91,3,Unhandled-Exceptions,code snippet injection
