loc,length,bug type,approach
352,3,Unhandled-Exceptions,code snippet injection
492,3,Unhandled-Exceptions,code snippet injection
477,6,Unhandled-Exceptions,code snippet injection
458,3,Unhandled-Exceptions,code snippet injection
446,8,Unhandled-Exceptions,code snippet injection
427,3,Unhandled-Exceptions,code snippet injection
392,5,Unhandled-Exceptions,code snippet injection
379,9,Unhandled-Exceptions,code snippet injection
369,5,Unhandled-Exceptions,code snippet injection
360,5,Unhandled-Exceptions,code snippet injection
191,5,Unhandled-Exceptions,code snippet injection
184,3,Unhandled-Exceptions,code snippet injection
169,8,Unhandled-Exceptions,code snippet injection
159,3,Unhandled-Exceptions,code snippet injection
149,3,Unhandled-Exceptions,code snippet injection
138,3,Unhandled-Exceptions,code snippet injection
131,3,Unhandled-Exceptions,code snippet injection
124,3,Unhandled-Exceptions,code snippet injection
114,5,Unhandled-Exceptions,code snippet injection
101,9,Unhandled-Exceptions,code snippet injection
96,2,Unhandled-Exceptions,code snippet injection
89,3,Unhandled-Exceptions,code snippet injection
77,9,Unhandled-Exceptions,code snippet injection
42,9,Unhandled-Exceptions,code snippet injection
34,3,Unhandled-Exceptions,code snippet injection
20,9,Unhandled-Exceptions,code snippet injection
348,2,Unhandled-Exceptions,code snippet injection
344,3,Unhandled-Exceptions,code snippet injection
339,3,Unhandled-Exceptions,code snippet injection
332,6,Unhandled-Exceptions,code snippet injection
325,6,Unhandled-Exceptions,code snippet injection
321,3,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
70,3,Unhandled-Exceptions,code snippet injection
63,5,Unhandled-Exceptions,code snippet injection
56,5,Unhandled-Exceptions,code snippet injection
