loc,length,bug type,approach
208,4,tx.origin,code snippet injection
203,4,tx.origin,code snippet injection
198,4,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
187,5,tx.origin,code snippet injection
182,4,tx.origin,code snippet injection
375,4,tx.origin,code snippet injection
366,4,tx.origin,code snippet injection
335,4,tx.origin,code snippet injection
322,4,tx.origin,code snippet injection
308,3,tx.origin,code snippet injection
291,4,tx.origin,code snippet injection
279,4,tx.origin,code snippet injection
267,3,tx.origin,code snippet injection
261,4,tx.origin,code snippet injection
247,3,tx.origin,code snippet injection
241,4,tx.origin,code snippet injection
236,4,tx.origin,code snippet injection
232,3,tx.origin,code snippet injection
228,3,tx.origin,code snippet injection
222,4,tx.origin,code snippet injection
218,3,tx.origin,code snippet injection
213,4,tx.origin,code snippet injection
