loc,length,bug type,approach
209,4,tx.origin,code snippet injection
200,4,tx.origin,code snippet injection
181,4,tx.origin,code snippet injection
163,4,tx.origin,code snippet injection
151,5,tx.origin,code snippet injection
141,4,tx.origin,code snippet injection
133,4,tx.origin,code snippet injection
120,4,tx.origin,code snippet injection
33,4,tx.origin,code snippet injection
28,4,tx.origin,code snippet injection
24,3,tx.origin,code snippet injection
19,4,tx.origin,code snippet injection
14,4,tx.origin,code snippet injection
10,3,tx.origin,code snippet injection
109,4,tx.origin,code snippet injection
105,3,tx.origin,code snippet injection
98,4,tx.origin,code snippet injection
86,4,tx.origin,code snippet injection
82,3,tx.origin,code snippet injection
78,3,tx.origin,code snippet injection
