loc,length,bug type,approach
36,4,tx.origin,code snippet injection
304,4,tx.origin,code snippet injection
295,4,tx.origin,code snippet injection
286,4,tx.origin,code snippet injection
276,5,tx.origin,code snippet injection
267,4,tx.origin,code snippet injection
258,4,tx.origin,code snippet injection
244,4,tx.origin,code snippet injection
235,4,tx.origin,code snippet injection
226,4,tx.origin,code snippet injection
218,3,tx.origin,code snippet injection
209,4,tx.origin,code snippet injection
200,4,tx.origin,code snippet injection
187,3,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
170,3,tx.origin,code snippet injection
161,4,tx.origin,code snippet injection
152,4,tx.origin,code snippet injection
144,3,tx.origin,code snippet injection
71,3,tx.origin,code snippet injection
57,4,tx.origin,code snippet injection
45,3,tx.origin,code snippet injection
107,4,tx.origin,code snippet injection
103,3,tx.origin,code snippet injection
98,4,tx.origin,code snippet injection
93,4,tx.origin,code snippet injection
88,4,tx.origin,code snippet injection
82,5,tx.origin,code snippet injection
30,4,tx.origin,code snippet injection
26,3,tx.origin,code snippet injection
