loc,length,bug type,approach
237,4,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
171,4,tx.origin,code snippet injection
166,4,tx.origin,code snippet injection
51,5,tx.origin,code snippet injection
918,4,tx.origin,code snippet injection
906,4,tx.origin,code snippet injection
894,4,tx.origin,code snippet injection
881,4,tx.origin,code snippet injection
866,4,tx.origin,code snippet injection
852,3,tx.origin,code snippet injection
836,4,tx.origin,code snippet injection
824,4,tx.origin,code snippet injection
812,3,tx.origin,code snippet injection
796,4,tx.origin,code snippet injection
785,3,tx.origin,code snippet injection
773,4,tx.origin,code snippet injection
762,4,tx.origin,code snippet injection
755,3,tx.origin,code snippet injection
748,3,tx.origin,code snippet injection
737,4,tx.origin,code snippet injection
726,3,tx.origin,code snippet injection
714,4,tx.origin,code snippet injection
704,3,tx.origin,code snippet injection
695,4,tx.origin,code snippet injection
687,4,tx.origin,code snippet injection
679,4,tx.origin,code snippet injection
665,5,tx.origin,code snippet injection
657,4,tx.origin,code snippet injection
650,3,tx.origin,code snippet injection
642,4,tx.origin,code snippet injection
634,4,tx.origin,code snippet injection
626,4,tx.origin,code snippet injection
618,4,tx.origin,code snippet injection
611,3,tx.origin,code snippet injection
602,4,tx.origin,code snippet injection
595,3,tx.origin,code snippet injection
587,4,tx.origin,code snippet injection
579,4,tx.origin,code snippet injection
571,4,tx.origin,code snippet injection
