loc,length,bug type,approach
91,4,tx.origin,code snippet injection
65,4,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
278,4,tx.origin,code snippet injection
252,5,tx.origin,code snippet injection
232,4,tx.origin,code snippet injection
218,4,tx.origin,code snippet injection
198,4,tx.origin,code snippet injection
158,4,tx.origin,code snippet injection
145,4,tx.origin,code snippet injection
126,3,tx.origin,code snippet injection
91,4,tx.origin,code snippet injection
86,4,tx.origin,code snippet injection
82,3,tx.origin,code snippet injection
65,4,tx.origin,code snippet injection
61,3,tx.origin,code snippet injection
56,4,tx.origin,code snippet injection
300,4,tx.origin,code snippet injection
296,3,tx.origin,code snippet injection
292,3,tx.origin,code snippet injection
174,4,tx.origin,code snippet injection
115,3,tx.origin,code snippet injection
109,4,tx.origin,code snippet injection
