loc,length,bug type,approach
54,4,tx.origin,code snippet injection
49,4,tx.origin,code snippet injection
878,4,tx.origin,code snippet injection
860,4,tx.origin,code snippet injection
839,5,tx.origin,code snippet injection
812,4,tx.origin,code snippet injection
785,4,tx.origin,code snippet injection
758,4,tx.origin,code snippet injection
750,4,tx.origin,code snippet injection
736,4,tx.origin,code snippet injection
706,3,tx.origin,code snippet injection
677,4,tx.origin,code snippet injection
668,4,tx.origin,code snippet injection
660,3,tx.origin,code snippet injection
651,4,tx.origin,code snippet injection
646,3,tx.origin,code snippet injection
640,4,tx.origin,code snippet injection
634,4,tx.origin,code snippet injection
626,3,tx.origin,code snippet injection
621,3,tx.origin,code snippet injection
615,4,tx.origin,code snippet injection
610,3,tx.origin,code snippet injection
601,4,tx.origin,code snippet injection
593,3,tx.origin,code snippet injection
584,4,tx.origin,code snippet injection
575,4,tx.origin,code snippet injection
566,4,tx.origin,code snippet injection
556,5,tx.origin,code snippet injection
550,4,tx.origin,code snippet injection
545,3,tx.origin,code snippet injection
531,4,tx.origin,code snippet injection
522,4,tx.origin,code snippet injection
510,4,tx.origin,code snippet injection
502,4,tx.origin,code snippet injection
497,3,tx.origin,code snippet injection
491,4,tx.origin,code snippet injection
486,3,tx.origin,code snippet injection
480,4,tx.origin,code snippet injection
474,4,tx.origin,code snippet injection
468,4,tx.origin,code snippet injection
