loc,length,bug type,approach
601,4,tx.origin,code snippet injection
818,4,tx.origin,code snippet injection
807,4,tx.origin,code snippet injection
796,4,tx.origin,code snippet injection
782,5,tx.origin,code snippet injection
748,4,tx.origin,code snippet injection
740,4,tx.origin,code snippet injection
695,4,tx.origin,code snippet injection
683,4,tx.origin,code snippet injection
670,4,tx.origin,code snippet injection
659,3,tx.origin,code snippet injection
643,4,tx.origin,code snippet injection
624,4,tx.origin,code snippet injection
614,3,tx.origin,code snippet injection
405,4,tx.origin,code snippet injection
391,3,tx.origin,code snippet injection
366,4,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
323,3,tx.origin,code snippet injection
297,3,tx.origin,code snippet injection
274,4,tx.origin,code snippet injection
254,3,tx.origin,code snippet injection
232,4,tx.origin,code snippet injection
217,3,tx.origin,code snippet injection
206,4,tx.origin,code snippet injection
189,4,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
39,5,tx.origin,code snippet injection
30,4,tx.origin,code snippet injection
22,3,tx.origin,code snippet injection
726,4,tx.origin,code snippet injection
716,4,tx.origin,code snippet injection
711,4,tx.origin,code snippet injection
706,4,tx.origin,code snippet injection
594,3,tx.origin,code snippet injection
588,4,tx.origin,code snippet injection
166,3,tx.origin,code snippet injection
160,4,tx.origin,code snippet injection
154,4,tx.origin,code snippet injection
