loc,length,bug type,approach
357,4,tx.origin,code snippet injection
348,4,tx.origin,code snippet injection
339,4,tx.origin,code snippet injection
329,4,tx.origin,code snippet injection
317,5,tx.origin,code snippet injection
210,4,tx.origin,code snippet injection
202,4,tx.origin,code snippet injection
195,4,tx.origin,code snippet injection
188,4,tx.origin,code snippet injection
181,4,tx.origin,code snippet injection
151,3,tx.origin,code snippet injection
140,4,tx.origin,code snippet injection
129,4,tx.origin,code snippet injection
119,3,tx.origin,code snippet injection
107,4,tx.origin,code snippet injection
100,3,tx.origin,code snippet injection
92,4,tx.origin,code snippet injection
83,4,tx.origin,code snippet injection
76,3,tx.origin,code snippet injection
70,3,tx.origin,code snippet injection
62,4,tx.origin,code snippet injection
56,3,tx.origin,code snippet injection
28,4,tx.origin,code snippet injection
20,3,tx.origin,code snippet injection
308,4,tx.origin,code snippet injection
303,4,tx.origin,code snippet injection
169,4,tx.origin,code snippet injection
163,5,tx.origin,code snippet injection
158,4,tx.origin,code snippet injection
49,3,tx.origin,code snippet injection
43,4,tx.origin,code snippet injection
37,4,tx.origin,code snippet injection
