loc,length,bug type,approach
276,4,tx.origin,code snippet injection
271,4,tx.origin,code snippet injection
266,4,tx.origin,code snippet injection
261,4,tx.origin,code snippet injection
254,5,tx.origin,code snippet injection
249,4,tx.origin,code snippet injection
244,4,tx.origin,code snippet injection
239,4,tx.origin,code snippet injection
234,4,tx.origin,code snippet injection
52,4,tx.origin,code snippet injection
48,3,tx.origin,code snippet injection
558,4,tx.origin,code snippet injection
509,4,tx.origin,code snippet injection
483,3,tx.origin,code snippet injection
435,4,tx.origin,code snippet injection
418,3,tx.origin,code snippet injection
404,4,tx.origin,code snippet injection
395,4,tx.origin,code snippet injection
379,3,tx.origin,code snippet injection
358,3,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
333,3,tx.origin,code snippet injection
320,4,tx.origin,code snippet injection
310,3,tx.origin,code snippet injection
299,4,tx.origin,code snippet injection
290,4,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
194,5,tx.origin,code snippet injection
184,4,tx.origin,code snippet injection
169,3,tx.origin,code snippet injection
160,4,tx.origin,code snippet injection
148,4,tx.origin,code snippet injection
139,4,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
62,3,tx.origin,code snippet injection
32,4,tx.origin,code snippet injection
22,3,tx.origin,code snippet injection
12,4,tx.origin,code snippet injection
227,4,tx.origin,code snippet injection
222,4,tx.origin,code snippet injection
