loc,length,bug type,approach
375,4,tx.origin,code snippet injection
367,4,tx.origin,code snippet injection
359,4,tx.origin,code snippet injection
351,4,tx.origin,code snippet injection
341,5,tx.origin,code snippet injection
330,4,tx.origin,code snippet injection
320,4,tx.origin,code snippet injection
311,4,tx.origin,code snippet injection
302,4,tx.origin,code snippet injection
294,4,tx.origin,code snippet injection
287,3,tx.origin,code snippet injection
273,4,tx.origin,code snippet injection
257,4,tx.origin,code snippet injection
240,3,tx.origin,code snippet injection
209,4,tx.origin,code snippet injection
167,3,tx.origin,code snippet injection
132,4,tx.origin,code snippet injection
117,4,tx.origin,code snippet injection
105,3,tx.origin,code snippet injection
87,3,tx.origin,code snippet injection
81,4,tx.origin,code snippet injection
77,3,tx.origin,code snippet injection
72,4,tx.origin,code snippet injection
68,3,tx.origin,code snippet injection
63,4,tx.origin,code snippet injection
58,4,tx.origin,code snippet injection
53,4,tx.origin,code snippet injection
46,5,tx.origin,code snippet injection
41,4,tx.origin,code snippet injection
37,3,tx.origin,code snippet injection
31,4,tx.origin,code snippet injection
