loc,length,bug type,approach
206,4,tx.origin,code snippet injection
118,4,tx.origin,code snippet injection
113,4,tx.origin,code snippet injection
108,4,tx.origin,code snippet injection
71,5,tx.origin,code snippet injection
562,4,tx.origin,code snippet injection
549,4,tx.origin,code snippet injection
538,4,tx.origin,code snippet injection
526,4,tx.origin,code snippet injection
516,4,tx.origin,code snippet injection
495,3,tx.origin,code snippet injection
467,4,tx.origin,code snippet injection
460,4,tx.origin,code snippet injection
447,3,tx.origin,code snippet injection
436,4,tx.origin,code snippet injection
425,3,tx.origin,code snippet injection
414,4,tx.origin,code snippet injection
382,4,tx.origin,code snippet injection
356,3,tx.origin,code snippet injection
331,3,tx.origin,code snippet injection
306,4,tx.origin,code snippet injection
298,3,tx.origin,code snippet injection
290,4,tx.origin,code snippet injection
283,3,tx.origin,code snippet injection
276,4,tx.origin,code snippet injection
265,4,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
199,5,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
188,3,tx.origin,code snippet injection
182,4,tx.origin,code snippet injection
170,4,tx.origin,code snippet injection
164,4,tx.origin,code snippet injection
158,4,tx.origin,code snippet injection
153,3,tx.origin,code snippet injection
147,4,tx.origin,code snippet injection
142,3,tx.origin,code snippet injection
136,4,tx.origin,code snippet injection
130,4,tx.origin,code snippet injection
124,4,tx.origin,code snippet injection
