loc,length,bug type,approach
1370,4,tx.origin,code snippet injection
1365,4,tx.origin,code snippet injection
1295,4,tx.origin,code snippet injection
1290,4,tx.origin,code snippet injection
1171,5,tx.origin,code snippet injection
1003,4,tx.origin,code snippet injection
998,4,tx.origin,code snippet injection
1592,4,tx.origin,code snippet injection
1562,4,tx.origin,code snippet injection
1530,4,tx.origin,code snippet injection
1519,3,tx.origin,code snippet injection
1507,4,tx.origin,code snippet injection
1494,4,tx.origin,code snippet injection
1482,3,tx.origin,code snippet injection
1467,4,tx.origin,code snippet injection
1454,3,tx.origin,code snippet injection
1440,4,tx.origin,code snippet injection
1429,4,tx.origin,code snippet injection
1419,3,tx.origin,code snippet injection
1350,3,tx.origin,code snippet injection
1341,4,tx.origin,code snippet injection
1333,3,tx.origin,code snippet injection
1325,4,tx.origin,code snippet injection
1318,3,tx.origin,code snippet injection
1305,4,tx.origin,code snippet injection
1278,4,tx.origin,code snippet injection
1255,4,tx.origin,code snippet injection
1241,5,tx.origin,code snippet injection
1229,4,tx.origin,code snippet injection
1214,3,tx.origin,code snippet injection
1195,4,tx.origin,code snippet injection
1184,4,tx.origin,code snippet injection
1151,4,tx.origin,code snippet injection
1140,4,tx.origin,code snippet injection
1119,3,tx.origin,code snippet injection
1103,4,tx.origin,code snippet injection
1093,3,tx.origin,code snippet injection
1071,4,tx.origin,code snippet injection
1045,4,tx.origin,code snippet injection
1036,4,tx.origin,code snippet injection
