loc,length,bug type,approach
316,4,tx.origin,code snippet injection
311,4,tx.origin,code snippet injection
306,4,tx.origin,code snippet injection
301,4,tx.origin,code snippet injection
295,5,tx.origin,code snippet injection
290,4,tx.origin,code snippet injection
400,4,tx.origin,code snippet injection
389,4,tx.origin,code snippet injection
378,4,tx.origin,code snippet injection
370,4,tx.origin,code snippet injection
363,3,tx.origin,code snippet injection
354,4,tx.origin,code snippet injection
345,4,tx.origin,code snippet injection
337,3,tx.origin,code snippet injection
328,4,tx.origin,code snippet injection
273,3,tx.origin,code snippet injection
263,4,tx.origin,code snippet injection
253,4,tx.origin,code snippet injection
246,3,tx.origin,code snippet injection
239,3,tx.origin,code snippet injection
231,4,tx.origin,code snippet injection
205,3,tx.origin,code snippet injection
198,4,tx.origin,code snippet injection
192,3,tx.origin,code snippet injection
185,4,tx.origin,code snippet injection
169,4,tx.origin,code snippet injection
158,4,tx.origin,code snippet injection
146,5,tx.origin,code snippet injection
135,4,tx.origin,code snippet injection
124,3,tx.origin,code snippet injection
116,4,tx.origin,code snippet injection
108,4,tx.origin,code snippet injection
99,4,tx.origin,code snippet injection
91,4,tx.origin,code snippet injection
85,3,tx.origin,code snippet injection
77,4,tx.origin,code snippet injection
71,3,tx.origin,code snippet injection
283,4,tx.origin,code snippet injection
278,4,tx.origin,code snippet injection
219,4,tx.origin,code snippet injection
