loc,length,bug type,approach
616,4,tx.origin,code snippet injection
659,4,tx.origin,code snippet injection
635,4,tx.origin,code snippet injection
529,4,tx.origin,code snippet injection
509,5,tx.origin,code snippet injection
494,4,tx.origin,code snippet injection
486,4,tx.origin,code snippet injection
472,4,tx.origin,code snippet injection
450,4,tx.origin,code snippet injection
442,4,tx.origin,code snippet injection
435,3,tx.origin,code snippet injection
426,4,tx.origin,code snippet injection
412,4,tx.origin,code snippet injection
463,3,tx.origin,code snippet injection
403,4,tx.origin,code snippet injection
399,3,tx.origin,code snippet injection
