loc,length,bug type,approach
759,4,tx.origin,code snippet injection
754,4,tx.origin,code snippet injection
749,4,tx.origin,code snippet injection
744,4,tx.origin,code snippet injection
738,5,tx.origin,code snippet injection
116,4,tx.origin,code snippet injection
111,4,tx.origin,code snippet injection
959,4,tx.origin,code snippet injection
950,4,tx.origin,code snippet injection
934,4,tx.origin,code snippet injection
916,3,tx.origin,code snippet injection
890,4,tx.origin,code snippet injection
869,4,tx.origin,code snippet injection
834,3,tx.origin,code snippet injection
821,4,tx.origin,code snippet injection
809,3,tx.origin,code snippet injection
730,4,tx.origin,code snippet injection
717,4,tx.origin,code snippet injection
708,3,tx.origin,code snippet injection
700,3,tx.origin,code snippet injection
691,4,tx.origin,code snippet injection
679,3,tx.origin,code snippet injection
666,4,tx.origin,code snippet injection
654,3,tx.origin,code snippet injection
634,4,tx.origin,code snippet injection
616,4,tx.origin,code snippet injection
583,4,tx.origin,code snippet injection
551,5,tx.origin,code snippet injection
533,4,tx.origin,code snippet injection
500,3,tx.origin,code snippet injection
469,4,tx.origin,code snippet injection
452,4,tx.origin,code snippet injection
428,4,tx.origin,code snippet injection
412,4,tx.origin,code snippet injection
392,3,tx.origin,code snippet injection
376,4,tx.origin,code snippet injection
364,3,tx.origin,code snippet injection
348,4,tx.origin,code snippet injection
333,4,tx.origin,code snippet injection
320,4,tx.origin,code snippet injection
