loc,length,bug type,approach
422,4,tx.origin,code snippet injection
413,4,tx.origin,code snippet injection
404,4,tx.origin,code snippet injection
394,4,tx.origin,code snippet injection
385,5,tx.origin,code snippet injection
377,4,tx.origin,code snippet injection
369,4,tx.origin,code snippet injection
361,4,tx.origin,code snippet injection
344,4,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
306,3,tx.origin,code snippet injection
289,4,tx.origin,code snippet injection
266,4,tx.origin,code snippet injection
254,3,tx.origin,code snippet injection
233,4,tx.origin,code snippet injection
225,3,tx.origin,code snippet injection
216,4,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
197,3,tx.origin,code snippet injection
193,3,tx.origin,code snippet injection
188,4,tx.origin,code snippet injection
183,3,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
173,3,tx.origin,code snippet injection
168,4,tx.origin,code snippet injection
