loc,length,bug type,approach
121,4,tx.origin,code snippet injection
116,4,tx.origin,code snippet injection
111,4,tx.origin,code snippet injection
106,4,tx.origin,code snippet injection
100,5,tx.origin,code snippet injection
420,4,tx.origin,code snippet injection
411,4,tx.origin,code snippet injection
403,4,tx.origin,code snippet injection
395,4,tx.origin,code snippet injection
360,4,tx.origin,code snippet injection
321,3,tx.origin,code snippet injection
292,4,tx.origin,code snippet injection
245,4,tx.origin,code snippet injection
200,3,tx.origin,code snippet injection
92,4,tx.origin,code snippet injection
85,3,tx.origin,code snippet injection
67,4,tx.origin,code snippet injection
159,4,tx.origin,code snippet injection
155,3,tx.origin,code snippet injection
151,3,tx.origin,code snippet injection
136,4,tx.origin,code snippet injection
132,3,tx.origin,code snippet injection
127,4,tx.origin,code snippet injection
57,3,tx.origin,code snippet injection
52,4,tx.origin,code snippet injection
