loc,length,bug type,approach
472,4,tx.origin,code snippet injection
414,4,tx.origin,code snippet injection
409,4,tx.origin,code snippet injection
155,4,tx.origin,code snippet injection
149,5,tx.origin,code snippet injection
1110,4,tx.origin,code snippet injection
1093,4,tx.origin,code snippet injection
1076,4,tx.origin,code snippet injection
1063,4,tx.origin,code snippet injection
1047,4,tx.origin,code snippet injection
1003,3,tx.origin,code snippet injection
977,4,tx.origin,code snippet injection
948,4,tx.origin,code snippet injection
917,3,tx.origin,code snippet injection
886,4,tx.origin,code snippet injection
854,3,tx.origin,code snippet injection
779,4,tx.origin,code snippet injection
766,4,tx.origin,code snippet injection
749,3,tx.origin,code snippet injection
710,3,tx.origin,code snippet injection
699,4,tx.origin,code snippet injection
689,3,tx.origin,code snippet injection
656,4,tx.origin,code snippet injection
652,3,tx.origin,code snippet injection
647,4,tx.origin,code snippet injection
642,4,tx.origin,code snippet injection
637,4,tx.origin,code snippet injection
631,5,tx.origin,code snippet injection
626,4,tx.origin,code snippet injection
622,3,tx.origin,code snippet injection
617,4,tx.origin,code snippet injection
612,4,tx.origin,code snippet injection
607,4,tx.origin,code snippet injection
602,4,tx.origin,code snippet injection
598,3,tx.origin,code snippet injection
593,4,tx.origin,code snippet injection
589,3,tx.origin,code snippet injection
584,4,tx.origin,code snippet injection
576,4,tx.origin,code snippet injection
559,4,tx.origin,code snippet injection
