loc,length,bug type,approach
169,4,tx.origin,code snippet injection
154,4,tx.origin,code snippet injection
144,4,tx.origin,code snippet injection
134,4,tx.origin,code snippet injection
116,5,tx.origin,code snippet injection
101,4,tx.origin,code snippet injection
93,4,tx.origin,code snippet injection
85,4,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
66,4,tx.origin,code snippet injection
60,3,tx.origin,code snippet injection
55,4,tx.origin,code snippet injection
50,4,tx.origin,code snippet injection
46,3,tx.origin,code snippet injection
