loc,length,bug type,approach
286,4,tx.origin,code snippet injection
281,4,tx.origin,code snippet injection
276,4,tx.origin,code snippet injection
94,4,tx.origin,code snippet injection
88,5,tx.origin,code snippet injection
44,4,tx.origin,code snippet injection
505,4,tx.origin,code snippet injection
483,4,tx.origin,code snippet injection
473,4,tx.origin,code snippet injection
463,4,tx.origin,code snippet injection
454,3,tx.origin,code snippet injection
444,4,tx.origin,code snippet injection
428,4,tx.origin,code snippet injection
418,3,tx.origin,code snippet injection
388,4,tx.origin,code snippet injection
377,3,tx.origin,code snippet injection
365,4,tx.origin,code snippet injection
354,4,tx.origin,code snippet injection
344,3,tx.origin,code snippet injection
326,3,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
309,3,tx.origin,code snippet injection
298,4,tx.origin,code snippet injection
257,3,tx.origin,code snippet injection
252,4,tx.origin,code snippet injection
247,4,tx.origin,code snippet injection
242,4,tx.origin,code snippet injection
236,5,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
220,3,tx.origin,code snippet injection
210,4,tx.origin,code snippet injection
196,4,tx.origin,code snippet injection
185,4,tx.origin,code snippet injection
165,4,tx.origin,code snippet injection
147,3,tx.origin,code snippet injection
133,4,tx.origin,code snippet injection
120,3,tx.origin,code snippet injection
107,4,tx.origin,code snippet injection
76,4,tx.origin,code snippet injection
56,4,tx.origin,code snippet injection
