loc,length,bug type,approach
484,4,tx.origin,code snippet injection
478,4,tx.origin,code snippet injection
472,4,tx.origin,code snippet injection
466,4,tx.origin,code snippet injection
303,5,tx.origin,code snippet injection
297,4,tx.origin,code snippet injection
291,4,tx.origin,code snippet injection
205,4,tx.origin,code snippet injection
200,4,tx.origin,code snippet injection
74,4,tx.origin,code snippet injection
64,3,tx.origin,code snippet injection
460,4,tx.origin,code snippet injection
446,4,tx.origin,code snippet injection
433,3,tx.origin,code snippet injection
419,4,tx.origin,code snippet injection
408,3,tx.origin,code snippet injection
397,4,tx.origin,code snippet injection
385,4,tx.origin,code snippet injection
374,3,tx.origin,code snippet injection
363,3,tx.origin,code snippet injection
350,4,tx.origin,code snippet injection
338,3,tx.origin,code snippet injection
321,4,tx.origin,code snippet injection
317,3,tx.origin,code snippet injection
312,4,tx.origin,code snippet injection
286,4,tx.origin,code snippet injection
274,4,tx.origin,code snippet injection
264,5,tx.origin,code snippet injection
253,4,tx.origin,code snippet injection
246,3,tx.origin,code snippet injection
236,4,tx.origin,code snippet injection
227,4,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
185,4,tx.origin,code snippet injection
174,3,tx.origin,code snippet injection
142,4,tx.origin,code snippet injection
135,3,tx.origin,code snippet injection
125,4,tx.origin,code snippet injection
87,4,tx.origin,code snippet injection
74,4,tx.origin,code snippet injection
