loc,length,bug type,approach
670,4,tx.origin,code snippet injection
653,4,tx.origin,code snippet injection
633,4,tx.origin,code snippet injection
621,4,tx.origin,code snippet injection
609,5,tx.origin,code snippet injection
570,4,tx.origin,code snippet injection
555,4,tx.origin,code snippet injection
530,4,tx.origin,code snippet injection
507,4,tx.origin,code snippet injection
486,4,tx.origin,code snippet injection
460,3,tx.origin,code snippet injection
437,4,tx.origin,code snippet injection
416,4,tx.origin,code snippet injection
395,3,tx.origin,code snippet injection
379,4,tx.origin,code snippet injection
369,3,tx.origin,code snippet injection
352,4,tx.origin,code snippet injection
341,4,tx.origin,code snippet injection
40,3,tx.origin,code snippet injection
32,3,tx.origin,code snippet injection
23,4,tx.origin,code snippet injection
594,3,tx.origin,code snippet injection
589,4,tx.origin,code snippet injection
585,3,tx.origin,code snippet injection
329,4,tx.origin,code snippet injection
323,4,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
