loc,length,bug type,approach
277,4,tx.origin,code snippet injection
554,4,tx.origin,code snippet injection
546,4,tx.origin,code snippet injection
538,4,tx.origin,code snippet injection
529,5,tx.origin,code snippet injection
521,4,tx.origin,code snippet injection
513,4,tx.origin,code snippet injection
500,4,tx.origin,code snippet injection
488,4,tx.origin,code snippet injection
477,4,tx.origin,code snippet injection
467,3,tx.origin,code snippet injection
450,4,tx.origin,code snippet injection
438,4,tx.origin,code snippet injection
427,3,tx.origin,code snippet injection
361,4,tx.origin,code snippet injection
348,3,tx.origin,code snippet injection
336,4,tx.origin,code snippet injection
320,4,tx.origin,code snippet injection
302,3,tx.origin,code snippet injection
292,3,tx.origin,code snippet injection
259,4,tx.origin,code snippet injection
243,3,tx.origin,code snippet injection
225,4,tx.origin,code snippet injection
208,3,tx.origin,code snippet injection
189,4,tx.origin,code snippet injection
171,4,tx.origin,code snippet injection
152,4,tx.origin,code snippet injection
132,5,tx.origin,code snippet injection
114,4,tx.origin,code snippet injection
97,3,tx.origin,code snippet injection
83,4,tx.origin,code snippet injection
69,4,tx.origin,code snippet injection
56,4,tx.origin,code snippet injection
395,4,tx.origin,code snippet injection
390,3,tx.origin,code snippet injection
382,4,tx.origin,code snippet injection
378,3,tx.origin,code snippet injection
373,4,tx.origin,code snippet injection
270,4,tx.origin,code snippet injection
44,4,tx.origin,code snippet injection
