loc,length,bug type,approach
25,4,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
107,4,tx.origin,code snippet injection
93,4,tx.origin,code snippet injection
81,5,tx.origin,code snippet injection
68,4,tx.origin,code snippet injection
15,4,tx.origin,code snippet injection
10,4,tx.origin,code snippet injection
5,4,tx.origin,code snippet injection
59,4,tx.origin,code snippet injection
55,3,tx.origin,code snippet injection
47,4,tx.origin,code snippet injection
42,4,tx.origin,code snippet injection
38,3,tx.origin,code snippet injection
33,4,tx.origin,code snippet injection
