loc,length,bug type,approach
461,4,tx.origin,code snippet injection
447,4,tx.origin,code snippet injection
434,4,tx.origin,code snippet injection
411,4,tx.origin,code snippet injection
399,5,tx.origin,code snippet injection
388,4,tx.origin,code snippet injection
377,4,tx.origin,code snippet injection
339,4,tx.origin,code snippet injection
322,4,tx.origin,code snippet injection
304,4,tx.origin,code snippet injection
287,3,tx.origin,code snippet injection
268,4,tx.origin,code snippet injection
250,4,tx.origin,code snippet injection
232,3,tx.origin,code snippet injection
213,4,tx.origin,code snippet injection
196,3,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
164,4,tx.origin,code snippet injection
151,3,tx.origin,code snippet injection
139,3,tx.origin,code snippet injection
366,4,tx.origin,code snippet injection
362,3,tx.origin,code snippet injection
357,4,tx.origin,code snippet injection
128,3,tx.origin,code snippet injection
122,4,tx.origin,code snippet injection
116,4,tx.origin,code snippet injection
