loc,length,bug type,approach
120,4,tx.origin,code snippet injection
113,4,tx.origin,code snippet injection
106,4,tx.origin,code snippet injection
997,4,tx.origin,code snippet injection
973,5,tx.origin,code snippet injection
950,4,tx.origin,code snippet injection
929,4,tx.origin,code snippet injection
899,4,tx.origin,code snippet injection
886,4,tx.origin,code snippet injection
872,4,tx.origin,code snippet injection
849,3,tx.origin,code snippet injection
799,4,tx.origin,code snippet injection
784,4,tx.origin,code snippet injection
763,3,tx.origin,code snippet injection
423,4,tx.origin,code snippet injection
403,3,tx.origin,code snippet injection
386,4,tx.origin,code snippet injection
371,4,tx.origin,code snippet injection
354,3,tx.origin,code snippet injection
277,3,tx.origin,code snippet injection
255,4,tx.origin,code snippet injection
237,3,tx.origin,code snippet injection
216,4,tx.origin,code snippet injection
199,3,tx.origin,code snippet injection
179,4,tx.origin,code snippet injection
162,4,tx.origin,code snippet injection
137,4,tx.origin,code snippet injection
836,5,tx.origin,code snippet injection
829,4,tx.origin,code snippet injection
755,3,tx.origin,code snippet injection
747,4,tx.origin,code snippet injection
742,4,tx.origin,code snippet injection
325,4,tx.origin,code snippet injection
315,4,tx.origin,code snippet injection
311,3,tx.origin,code snippet injection
306,4,tx.origin,code snippet injection
302,3,tx.origin,code snippet injection
295,4,tx.origin,code snippet injection
289,4,tx.origin,code snippet injection
99,4,tx.origin,code snippet injection
