loc,length,bug type,approach
110,4,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
100,4,tx.origin,code snippet injection
95,4,tx.origin,code snippet injection
89,5,tx.origin,code snippet injection
84,4,tx.origin,code snippet injection
79,4,tx.origin,code snippet injection
74,4,tx.origin,code snippet injection
69,4,tx.origin,code snippet injection
64,4,tx.origin,code snippet injection
597,3,tx.origin,code snippet injection
589,4,tx.origin,code snippet injection
581,4,tx.origin,code snippet injection
574,3,tx.origin,code snippet injection
566,4,tx.origin,code snippet injection
559,3,tx.origin,code snippet injection
551,4,tx.origin,code snippet injection
541,4,tx.origin,code snippet injection
527,3,tx.origin,code snippet injection
501,3,tx.origin,code snippet injection
488,4,tx.origin,code snippet injection
470,3,tx.origin,code snippet injection
441,4,tx.origin,code snippet injection
397,3,tx.origin,code snippet injection
331,4,tx.origin,code snippet injection
296,4,tx.origin,code snippet injection
265,4,tx.origin,code snippet injection
225,5,tx.origin,code snippet injection
212,4,tx.origin,code snippet injection
208,3,tx.origin,code snippet injection
203,4,tx.origin,code snippet injection
198,4,tx.origin,code snippet injection
190,4,tx.origin,code snippet injection
185,4,tx.origin,code snippet injection
181,3,tx.origin,code snippet injection
174,4,tx.origin,code snippet injection
168,3,tx.origin,code snippet injection
156,4,tx.origin,code snippet injection
151,4,tx.origin,code snippet injection
146,4,tx.origin,code snippet injection
