loc,length,bug type,approach
337,4,tx.origin,code snippet injection
332,4,tx.origin,code snippet injection
327,4,tx.origin,code snippet injection
322,4,tx.origin,code snippet injection
316,5,tx.origin,code snippet injection
311,4,tx.origin,code snippet injection
306,4,tx.origin,code snippet injection
301,4,tx.origin,code snippet injection
296,4,tx.origin,code snippet injection
291,4,tx.origin,code snippet injection
287,3,tx.origin,code snippet injection
282,4,tx.origin,code snippet injection
277,4,tx.origin,code snippet injection
273,3,tx.origin,code snippet injection
268,4,tx.origin,code snippet injection
264,3,tx.origin,code snippet injection
259,4,tx.origin,code snippet injection
254,4,tx.origin,code snippet injection
250,3,tx.origin,code snippet injection
246,3,tx.origin,code snippet injection
39,4,tx.origin,code snippet injection
28,3,tx.origin,code snippet injection
1016,4,tx.origin,code snippet injection
995,3,tx.origin,code snippet injection
971,4,tx.origin,code snippet injection
955,4,tx.origin,code snippet injection
939,4,tx.origin,code snippet injection
922,5,tx.origin,code snippet injection
906,4,tx.origin,code snippet injection
891,3,tx.origin,code snippet injection
875,4,tx.origin,code snippet injection
853,4,tx.origin,code snippet injection
831,4,tx.origin,code snippet injection
806,4,tx.origin,code snippet injection
780,3,tx.origin,code snippet injection
768,4,tx.origin,code snippet injection
755,3,tx.origin,code snippet injection
729,4,tx.origin,code snippet injection
715,4,tx.origin,code snippet injection
702,4,tx.origin,code snippet injection
