loc,length,bug type,approach
597,4,tx.origin,code snippet injection
585,4,tx.origin,code snippet injection
575,4,tx.origin,code snippet injection
565,4,tx.origin,code snippet injection
555,5,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
547,4,tx.origin,code snippet injection
532,4,tx.origin,code snippet injection
512,4,tx.origin,code snippet injection
496,3,tx.origin,code snippet injection
479,4,tx.origin,code snippet injection
462,4,tx.origin,code snippet injection
436,3,tx.origin,code snippet injection
407,4,tx.origin,code snippet injection
377,3,tx.origin,code snippet injection
355,4,tx.origin,code snippet injection
335,4,tx.origin,code snippet injection
305,3,tx.origin,code snippet injection
293,3,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
209,3,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
164,3,tx.origin,code snippet injection
140,4,tx.origin,code snippet injection
125,4,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
90,5,tx.origin,code snippet injection
85,4,tx.origin,code snippet injection
81,3,tx.origin,code snippet injection
76,4,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
55,4,tx.origin,code snippet injection
45,4,tx.origin,code snippet injection
37,3,tx.origin,code snippet injection
26,4,tx.origin,code snippet injection
318,3,tx.origin,code snippet injection
313,4,tx.origin,code snippet injection
308,4,tx.origin,code snippet injection
278,4,tx.origin,code snippet injection
