loc,length,bug type,approach
374,4,tx.origin,code snippet injection
367,4,tx.origin,code snippet injection
360,4,tx.origin,code snippet injection
353,4,tx.origin,code snippet injection
345,5,tx.origin,code snippet injection
802,4,tx.origin,code snippet injection
792,4,tx.origin,code snippet injection
783,4,tx.origin,code snippet injection
773,4,tx.origin,code snippet injection
762,4,tx.origin,code snippet injection
752,3,tx.origin,code snippet injection
683,4,tx.origin,code snippet injection
673,4,tx.origin,code snippet injection
644,3,tx.origin,code snippet injection
632,4,tx.origin,code snippet injection
615,3,tx.origin,code snippet injection
594,4,tx.origin,code snippet injection
577,4,tx.origin,code snippet injection
548,3,tx.origin,code snippet injection
526,3,tx.origin,code snippet injection
463,4,tx.origin,code snippet injection
448,3,tx.origin,code snippet injection
429,4,tx.origin,code snippet injection
413,3,tx.origin,code snippet injection
398,4,tx.origin,code snippet injection
385,4,tx.origin,code snippet injection
218,4,tx.origin,code snippet injection
210,5,tx.origin,code snippet injection
203,4,tx.origin,code snippet injection
197,3,tx.origin,code snippet injection
190,4,tx.origin,code snippet injection
331,4,tx.origin,code snippet injection
324,4,tx.origin,code snippet injection
249,4,tx.origin,code snippet injection
243,3,tx.origin,code snippet injection
236,4,tx.origin,code snippet injection
230,3,tx.origin,code snippet injection
223,4,tx.origin,code snippet injection
182,4,tx.origin,code snippet injection
