loc,length,bug type,approach
93,4,tx.origin,code snippet injection
88,4,tx.origin,code snippet injection
83,4,tx.origin,code snippet injection
78,4,tx.origin,code snippet injection
72,5,tx.origin,code snippet injection
67,4,tx.origin,code snippet injection
51,4,tx.origin,code snippet injection
45,4,tx.origin,code snippet injection
41,4,tx.origin,code snippet injection
37,4,tx.origin,code snippet injection
33,3,tx.origin,code snippet injection
29,4,tx.origin,code snippet injection
25,4,tx.origin,code snippet injection
